id,sentence,source,source_type,category
199,"High-profile applications of AI include advanced web search engines, chatbots, virtual assistants, autonomous vehicles, and play and analysis in strategy games .",Artificial intelligence,wikipedia,technology
200,"Since the 2020s, generative AI has become widely available to generate images, audio, and videos from text prompts.",Artificial intelligence,wikipedia,technology
201,"The traditional goals of AI research include learning, reasoning, knowledge representation, planning, natural language processing, and perception, as well as support for robotics.",Artificial intelligence,wikipedia,technology
202,"To reach these goals, AI researchers have used techniques including state space search and mathematical optimization, formal logic, artificial neural networks, and methods based on statistics, operations research, and economics.",Artificial intelligence,wikipedia,technology
203,"AI also draws upon psychology, linguistics, philosophy, neuroscience, and other fields.",Artificial intelligence,wikipedia,technology
204,"Some companies, such as OpenAI, Google DeepMind and Meta, aim to create artificial general intelligence – AI that can complete virtually any cognitive task at least as well as a human.",Artificial intelligence,wikipedia,technology
205,"Artificial intelligence was founded as an academic discipline in 1956, and the field went through multiple cycles of optimism throughout its history, followed by periods of disappointment and loss of funding, known as AI winters.",Artificial intelligence,wikipedia,technology
206,"Funding and interest increased substantially after 2012, when graphics processing units began being used to accelerate neural networks, and deep learning outperformed previous AI techniques.",Artificial intelligence,wikipedia,technology
207,This growth accelerated further after 2017 with the transformer architecture.,Artificial intelligence,wikipedia,technology
208,"In the 2020s, an AI boom has coincided with advances in generative AI, which allowed for the creation and modification of media.",Artificial intelligence,wikipedia,technology
209,"In addition to AI safety and unintended consequences and harms from the use of AI, ethical concerns, AI's long-term effects, and potential existential risks have prompted discussions of AI regulation.",Artificial intelligence,wikipedia,technology
210,"Goals
The general problem of simulating intelligence has been broken into subproblems.",Artificial intelligence,wikipedia,technology
211,These consist of particular traits or capabilities that researchers expect an intelligent system to display.,Artificial intelligence,wikipedia,technology
212,The traits described below have received the most attention and cover the scope of AI research.,Artificial intelligence,wikipedia,technology
213,"Reasoning and problem-solving
Early researchers developed algorithms that imitated step-by-step reasoning that humans use when they solve puzzles or make logical deductions.",Artificial intelligence,wikipedia,technology
214,"By the late 1980s and 1990s, methods were developed for dealing with uncertain or incomplete information, employing concepts from probability and economics.",Artificial intelligence,wikipedia,technology
215,"Many of these algorithms are insufficient for solving large reasoning problems because they experience a ""combinatorial explosion"": They become exponentially slower as the problems grow.",Artificial intelligence,wikipedia,technology
216,Even humans rarely use the step-by-step deduction that early AI research could model.,Artificial intelligence,wikipedia,technology
217,"They solve most of their problems using fast, intuitive judgments.",Artificial intelligence,wikipedia,technology
218,Accurate and efficient reasoning is an unsolved problem.,Artificial intelligence,wikipedia,technology
219,"Knowledge representation
Knowledge representation and knowledge engineering allow AI programs to answer questions intelligently and make deductions about real-world facts.",Artificial intelligence,wikipedia,technology
220,"Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas.",Artificial intelligence,wikipedia,technology
221,A knowledge base is a body of knowledge represented in a form that can be used by a program.,Artificial intelligence,wikipedia,technology
222,"An ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge.",Artificial intelligence,wikipedia,technology
223,"Knowledge bases need to represent things such as objects, properties, categories, and relations between objects; situations, events, states, and time; causes and effects; knowledge about knowledge (what we know about what other people know); default reasoning (things that humans assume are true until they are told differently and will remain true even when other facts are changing); and many other aspects and domains of knowledge.",Artificial intelligence,wikipedia,technology
224,"Among the most difficult problems in knowledge representation are the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally).",Artificial intelligence,wikipedia,technology
225,"There is also the difficulty of knowledge acquisition, the problem of obtaining knowledge for AI applications.",Artificial intelligence,wikipedia,technology
226,"Planning and decision-making
An ""agent"" is any entity that perceives and takes actions in the world.",Artificial intelligence,wikipedia,technology
227,A rational agent has goals or preferences and takes actions to make them happen.,Artificial intelligence,wikipedia,technology
228,"In automated planning, the agent has a specific goal.",Artificial intelligence,wikipedia,technology
229,"In automated decision-making, the agent has preferences—there are some situations it would prefer to be in, and some situations it is trying to avoid.",Artificial intelligence,wikipedia,technology
230,The decision-making agent assigns a number to each situation that measures how much the agent prefers it.,Artificial intelligence,wikipedia,technology
231,"For each possible action, it can calculate the ""expected utility"": the utility of all possible outcomes of the action, weighted by the probability that the outcome will occur.",Artificial intelligence,wikipedia,technology
232,It can then choose the action with the maximum expected utility.,Artificial intelligence,wikipedia,technology
233,"In classical planning, the agent knows exactly what the effect of any action will be.",Artificial intelligence,wikipedia,technology
234,"In most real-world problems, however, the agent may not be certain about the situation they are in and it may not know for certain what will happen after each possible action .",Artificial intelligence,wikipedia,technology
235,It must choose an action by making a probabilistic guess and then reassess the situation to see if the action worked.,Artificial intelligence,wikipedia,technology
236,"Alongside thorough testing and improvement based on previous decisions, having an explanation for why the agent took certain decisions is a way to build trust, especially when the decisions have to be relied upon.",Artificial intelligence,wikipedia,technology
237,"Artificial intelligence is technology that enables computers and machines to simulate human learning, comprehension, problem solving, decision making, creativity and autonomy.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
238,Applications and devices equipped with AI can see and identify objects.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
239,They can understand and respond to human language.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
240,They can learn from new information and experience.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
241,They can make detailed recommendations to users and experts.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
242,"They can act independently, replacing the need for human intelligence or intervention (a classic example being a self-driving car).",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
243,"But in 2024, most AI researchers, practitioners and most AI-related headlines are focused on breakthroughs in generative AI , a technology that can create original text, images, video and other content.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
244,"To fully understand generative AI, it’s important to first understand the technologies on which generative AI tools are built: machine learning and deep learning .",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
245,"Stay up to date on the most important—and intriguing—industry trends on AI, automation, data and beyond with the Think Newsletter, delivered twice weekly.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
246,See the IBM Privacy Statement .,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
247,"A simple way to think about AI is as a series of nested or derivative concepts that have emerged over more than 70 years:
Directly underneath AI, we have machine learning, which involves creating models by training an algorithm to make predictions or decisions based on data.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
248,It encompasses a broad range of techniques that enable computers to learn from and make inferences based on data without being explicitly programmed for specific tasks.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
249,"There are many types of machine learning techniques or algorithms, including linear regression , logistic regression , decision trees , random forest , support vector machines , k-nearest neighbor , clustering and more.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
250,Each of these approaches is suited to different kinds of problems and data.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
251,But one of the most popular types of machine learning algorithm is called a neural network .,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
252,Neural networks are modeled after the human brain's structure and function.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
253,A neural network consists of interconnected layers of nodes that work together to process and analyze complex data.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
254,Neural networks are well suited to tasks that involve identifying complex patterns and relationships in large amounts of data.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
255,"The simplest form of machine learning is called supervised learning , which involves the use of labeled data sets to train algorithms to classify data or predict outcomes accurately.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
256,"In supervised learning, humans pair each training example with an output label.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
257,"The goal is for the model to learn the mapping between inputs and outputs in the training data, so it can predict the labels of new, unseen data.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
258,"Deep learning is a subset of machine learning that uses multilayered neural networks, called deep neural networks, that more closely simulate the complex decision-making power of the human brain.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
259,"Deep neural networks include an input layer, at least three but usually hundreds of hidden layers, and an output layer, unlike neural networks used in classic machine learning models, which usually have only one or two hidden layers.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
260,"These multiple layers enable unsupervised learning : they can automate the extraction of features from large, unlabeled and unstructured data sets, and make their own predictions about what the data represents.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
261,"Because deep learning doesn’t require human intervention, it enables machine learning at a tremendous scale.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
262,"It is well suited to natural language processing , computer vision , and other tasks that involve the fast, accurate identification complex patterns and relationships in large amounts of data.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
263,Some form of deep learning powers most of the artificial intelligence applications in our lives today.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
265,"At a high level, generative models encode a simplified representation of their training data, and then draw from that representation to create new work that’s similar, but not identical, to the original data.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
266,Generative models have been used for years in statistics to analyze numerical data.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
267,"But over the last decade, they evolved to analyze and generate more complex data types.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
268,This evolution coincided with the emergence of three sophisticated deep learning model types:,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
269,Gain the knowledge to prioritize AI investments that drive business growth.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
270,Get started with our free AI Academy today and lead the future of AI in your organization.,https://www.ibm.com/think/topics/artificial-intelligence,web,technology
271,"In general, generative AI operates in three phases:
Generative AI begins with a ""foundation model""; a deep learning model that serves as the basis for multiple different types of generative AI applications.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
272,"The most common foundation models today are large language models , created for text generation applications.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
273,"But there are also foundation models for image, video, sound or music generation, and multimodal foundation models that support several kinds of content.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
274,"To create a foundation model, practitioners train a deep learning algorithm on huge volumes of relevant raw, unstructured, unlabeled data, such as terabytes or petabytes of data text or images or video from the internet.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
275,"The training yields a neural network of billions of parameters encoded representations of the entities, patterns and relationships in the data that can generate content autonomously in response to prompts.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
276,"This training process is compute-intensive, time-consuming and expensive.",https://www.ibm.com/think/topics/artificial-intelligence,web,technology
277,Present-day climate change includes both global warming—the ongoing increase in global average temperature—and its wider effects on Earth's climate system.,Climate change,wikipedia,environment
278,Climate change in a broader sense also includes previous long-term changes to Earth's climate.,Climate change,wikipedia,environment
279,"The modern-day rise in global temperatures is driven by human activities, especially fossil fuel burning since the Industrial Revolution.",Climate change,wikipedia,environment
280,"Fossil fuel use, deforestation, and some agricultural and industrial practices release greenhouse gases.",Climate change,wikipedia,environment
281,"These gases absorb some of the heat that the Earth radiates after it warms from sunlight, warming the lower atmosphere.",Climate change,wikipedia,environment
282,"Earth's atmosphere now has roughly 50% more carbon dioxide, the main gas driving global warming, than it did at the end of the pre-industrial era, reaching levels not seen for millions of years.",Climate change,wikipedia,environment
283,Climate change has an increasingly large impact on the environment.,Climate change,wikipedia,environment
284,Heat waves and wildfires are becoming more common.,Climate change,wikipedia,environment
285,"Amplified warming in the Arctic has contributed to thawing permafrost, retreat of glaciers and sea ice decline.",Climate change,wikipedia,environment
286,"Higher temperatures are also causing more intense storms, droughts, and other weather extremes.",Climate change,wikipedia,environment
287,"Rapid environmental change in mountains, coral reefs, and the Arctic is forcing many species to relocate or become extinct.",Climate change,wikipedia,environment
288,"Even if efforts to minimize future warming are successful, some effects will continue for centuries.",Climate change,wikipedia,environment
289,"These include ocean heating, ocean acidification and sea level rise.",Climate change,wikipedia,environment
290,"Climate change threatens people with increased flooding, extreme heat, increased food and water scarcity, more disease, and economic loss.",Climate change,wikipedia,environment
291,Human migration and conflict can also be a result.,Climate change,wikipedia,environment
292,The World Health Organization calls climate change one of the biggest threats to global health in the 21st century.,Climate change,wikipedia,environment
293,Societies and ecosystems will experience more severe risks without action to limit warming.,Climate change,wikipedia,environment
294,"Adapting to climate change through efforts like flood control measures or drought-resistant crops partially reduces climate change risks, although some limits to adaptation have already been reached.",Climate change,wikipedia,environment
295,"Poorer communities are responsible for a small share of global emissions, yet have the least ability to adapt and are most vulnerable to climate change.",Climate change,wikipedia,environment
296,"Many climate change impacts have been observed in the first decades of the 21st century, with 2024 the warmest on record at +1.60 °C since regular tracking began in 1850.",Climate change,wikipedia,environment
297,"Additional warming will increase these impacts and can trigger tipping points, such as melting all of the Greenland ice sheet.",Climate change,wikipedia,environment
298,"Under the 2015 Paris Agreement, nations collectively agreed to keep warming ""well under 2 °C"".",Climate change,wikipedia,environment
299,"However, with pledges made under the Agreement, global warming would still reach about 2.8 °C by the end of the century.",Climate change,wikipedia,environment
300,"There is widespread support for climate action worldwide, and most countries aim to stop emitting carbon dioxide.",Climate change,wikipedia,environment
301,"Fossil fuels can be phased out by stopping subsidising them, conserving energy and switching to energy sources that do not produce significant carbon pollution.",Climate change,wikipedia,environment
302,"These energy sources include wind, solar, hydro, and nuclear power.",Climate change,wikipedia,environment
303,"Cleanly generated electricity can replace fossil fuels for powering transportation, heating buildings, and running industrial processes.",Climate change,wikipedia,environment
304,"Carbon can also be removed from the atmosphere, for instance by increasing forest cover and farming with methods that store carbon in soil.",Climate change,wikipedia,environment
305,"Terminology
Before the 1980s, it was unclear whether the warming effect of increased greenhouse gases was stronger than the cooling effect of airborne particulates in air pollution.",Climate change,wikipedia,environment
306,Scientists used the term inadvertent climate modification to refer to human impacts on the climate at this time.,Climate change,wikipedia,environment
307,"In the 1980s, the terms global warming and climate change became more common, often being used interchangeably.",Climate change,wikipedia,environment
308,"Scientifically, global warming refers only to increased global average surface temperature, while climate change describes both global warming and its effects on Earth's climate system, such as precipitation changes.",Climate change,wikipedia,environment
309,Climate change can also be used more broadly to include changes to the climate that have happened throughout Earth's history as result of natural processes.,Climate change,wikipedia,environment
310,The term anthropogenic climate change is sometimes used to describe climate change resulting from human activities.,Climate change,wikipedia,environment
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,wikipedia,environment
312,"Since the 2000s, usage of climate change has increased.",Climate change,wikipedia,environment
313,"Various scientists, politicians and media may use the terms climate crisis or climate emergency to talk about climate change, and may use the term global heating instead of global warming.",Climate change,wikipedia,environment
314,"Global temperature rise
Temperatures prior to present-day global warming
Over the last few million years the climate cycled through ice ages.",Climate change,wikipedia,environment
315,"One of the hotter periods was the Last Interglacial, around 125,000 years ago, where temperatures were between 0.5 °C and 1.5 °C warmer than before the start of global warming.",Climate change,wikipedia,environment
316,This period saw sea levels 5 to 10 metres higher than today.,Climate change,wikipedia,environment
317,Climate change refers to long-term shifts in temperatures and weather patterns.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
318,"Such shifts can be natural, due to changes in the sun’s activity or large volcanic eruptions.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
319,"But since the 1800s, human activities have been the main driver of climate change , primarily due to the burning of fossil fuels like coal, oil and gas.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
320,"Burning fossil fuels generates greenhouse gas emissions that act like a blanket wrapped around the Earth, trapping the sun’s heat and raising temperatures.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
322,"These come from using gasoline for driving a car or coal for heating a building, for example.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
323,Clearing land and cutting down forests can also release carbon dioxide.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
324,"Agriculture, oil and gas operations are major sources of methane emissions.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
325,"Energy, industry, transport, buildings, agriculture and land use are among the main sectors causing greenhouse gases.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
326,Climate scientists have showed that humans are responsible for virtually all global heating over the last 200 years.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
327,Human activities like the ones mentioned above are causing greenhouse gases that are warming the world faster than at any time in at least the last two thousand years.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
328,"The average temperature of the Earth’s surface is now about 1.42°C warmer than it was in the late 1800s-prior to the industrial revolution-and warmer than at any time in the last 100,000 years.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
329,"The last decade was the warmest on record , and each of the last four decades has been warmer than any previous decade since 1850.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
330,Many people think that climate change mainly means warmer temperatures.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
331,But temperature rise is only the beginning of the story.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
332,"Because the Earth is a system where everything is connected, changes in one area can influence changes in all others.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
333,"The consequences of climate change include, among others, intense droughts, water scarcity, severe fires, rising sea levels, flooding, melting polar ice, catastrophic storms and declining biodiversity.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
334,"Climate change can affect our health , ability to grow food, housing, safety and work.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
335,"Some of us are already more vulnerable to climate impacts, such as people living in small island nations and other developing countries.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
336,"Conditions like sea-level rise and saltwater intrusion have advanced to the point where entire communities have had to relocate, while protracted droughts are putting people at risk of famine.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
337,"In the future, the number of people displaced by weather-related events is expected to rise.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
338,"In a series of UN reports , thousands of scientists and government reviewers agreed that limiting global temperature rise to no more than 1.5°C would help us avoid the worst climate impacts and maintain a liveable climate.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
339,Yet policies currently in place point to up to 2.8°C of warming by the end of the century.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
340,"The emissions that cause climate change come from every part of the world and affect everyone, but some countries produce much more than others .",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
342,"By contrast, the 45 least developed countries contribute only 3 per cent of global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
343,"Everyone must take climate action, but people and countries creating more of the problem have a greater responsibility to act first.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
344,Many climate change solutions can deliver economic benefits while improving our lives and protecting the environment.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
346,"Three broad categories of action are: cutting emissions, adapting to climate impacts and financing required adjustments.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
347,Switching energy systems from fossil fuels to renewables like solar or wind will reduce the emissions driving climate change.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
348,But we have to act now.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
349,"While a growing number of countries is committing to net zero emissions by 2050, emissions must be cut in half by 2030 to keep warming below 1.5°C.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
350,"Achieving this means huge declines in the use of coal, oil and gas: production and consumption of all fossil fuels need to be cut by at least 30 per cent by 2030 in order to prevent catastrophic levels of climate change.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
351,"Adapting to climate consequences protects people, homes, businesses, livelihoods, infrastructure and natural ecosystems.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
352,It covers current impacts and those likely in the future.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
353,Adaptation will be required everywhere but must be prioritized now for the most vulnerable people with the fewest resources to cope with climate hazards.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
354,The rate of return can be high.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
355,"Early warning systems for disasters, for instance, save lives and property, and can deliver benefits up to 10 times the initial cost.",https://www.un.org/en/climatechange/what-is-climate-change,web,environment
356,Climate action requires significant financial investments by governments and businesses.,https://www.un.org/en/climatechange/what-is-climate-change,web,environment
357,"Penicillins are a group of β-lactam antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.",Penicillin,wikipedia,medicine
358,Most penicillins in clinical use are synthesised by P. chrysogenum using deep tank fermentation and then purified.,Penicillin,wikipedia,medicine
359,"A number of natural penicillins have been discovered, but only two purified compounds are in clinical use: penicillin G and penicillin V .",Penicillin,wikipedia,medicine
360,Penicillins were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci.,Penicillin,wikipedia,medicine
361,"They are still widely used today for various bacterial infections, though many types of bacteria have developed resistance following extensive use.",Penicillin,wikipedia,medicine
362,"In the United States, 10% of the population claims penicillin allergies, but because the frequency of positive skin test results decreases by 10% with each year of avoidance, 90% of these patients can eventually tolerate penicillin.",Penicillin,wikipedia,medicine
363,"Additionally, those with penicillin allergies can usually tolerate cephalosporins because the immunoglobulin E cross-reactivity is only 3%.",Penicillin,wikipedia,medicine
364,Penicillin was discovered in 1928 by the Scottish physician Alexander Fleming as a crude extract of P. rubens.,Penicillin,wikipedia,medicine
365,Fleming's student Cecil George Paine was the first to successfully use penicillin to treat eye infection in 1930.,Penicillin,wikipedia,medicine
366,The purified compound was isolated in 1940 by a research team led by Howard Florey and Ernst Boris Chain at the University of Oxford.,Penicillin,wikipedia,medicine
367,Fleming first used the purified penicillin to treat streptococcal meningitis in 1942.,Penicillin,wikipedia,medicine
368,"The 1945 Nobel Prize in Physiology or Medicine was shared by Chain, Fleming and Florey.",Penicillin,wikipedia,medicine
369,"Several semisynthetic penicillins are effective against a broader spectrum of bacteria: these include the antistaphylococcal penicillins, aminopenicillins, and antipseudomonal penicillins.",Penicillin,wikipedia,medicine
370,"Nomenclature
The term ""penicillin"" is defined as the natural product of Penicillium mould with antimicrobial activity.",Penicillin,wikipedia,medicine
371,It was coined by Alexander Fleming on 7 March 1929 when he discovered the antibacterial property of Penicillium rubens.,Penicillin,wikipedia,medicine
372,"Fleming explained in his 1929 paper in the British Journal of Experimental Pathology that ""to avoid the repetition of the rather cumbersome phrase 'Mould broth filtrate', the name 'penicillin' will be used"".",Penicillin,wikipedia,medicine
373,"The name thus refers to the scientific name of the mould, as described by Fleming in his Nobel lecture in 1945:
I have been frequently asked why I invented the name ""Penicillin"".",Penicillin,wikipedia,medicine
374,"I simply followed perfectly orthodox lines and coined a word which explained that the substance penicillin was derived from a plant of the genus Penicillium just as many years ago the word ""Digitalin"" was invented for a substance derived from the plant Digitalis.",Penicillin,wikipedia,medicine
375,In modern usage penicillin is used more broadly to refer to any β-lactam antimicrobial that contains a thiazolidine ring fused to the β-lactam core and may or may not be a natural product.,Penicillin,wikipedia,medicine
376,"Like most natural products, penicillin is present in Penicillium moulds as a mixture of active constituents (gentamicin is another example of a natural product that is an ill-defined mixture of active components).",Penicillin,wikipedia,medicine
377,The principal active components of Penicillium are listed in the following table:,Penicillin,wikipedia,medicine
378,"Other minor active components of Penicillium include penicillin O, penicillin U1, and penicillin U6.",Penicillin,wikipedia,medicine
379,"Other named constituents of natural Penicillium, such as penicillin A, were subsequently found not to have antibiotic activity and are not chemically related to antibiotic penicillins.",Penicillin,wikipedia,medicine
380,The precise constitution of the penicillin extracted depends on the species of Penicillium mould used and on the nutrient media used to culture the mould.,Penicillin,wikipedia,medicine
381,"Fleming's original strain of Penicillium rubens produces principally penicillin F, named after Fleming.",Penicillin,wikipedia,medicine
382,"But penicillin F is unstable, difficult to isolate, and produced by the mould in small quantities.",Penicillin,wikipedia,medicine
383,The principal commercial strain of Penicillium chrysogenum produces penicillin G as the principal component when corn steep liquor is used as the culture medium.,Penicillin,wikipedia,medicine
384,"When phenoxyethanol or phenoxyacetic acid are added to the culture medium, the mould produces penicillin V as the main penicillin instead.",Penicillin,wikipedia,medicine
385,"6-Aminopenicillanic acid is a compound derived from penicillin G. 6-APA contains the beta-lactam core of penicillin G, but with the side chains stripped off; 6-APA is a useful precursor for manufacturing other penicillins.",Penicillin,wikipedia,medicine
386,"There are many semi-synthetic penicillins derived from 6-APA and these are in three groups: antistaphylococcal penicillins, broad-spectrum penicillins, and antipseudomonal penicillins.",Penicillin,wikipedia,medicine
387,"The semi-synthetic penicillins are all referred to as penicillins because they are all derived ultimately from penicillin G.
Penicillin units
One unit of penicillin G sodium is defined as 0.600 micrograms.",Penicillin,wikipedia,medicine
388,"Therefore, 2 million units of penicillin G is 1.2 g.
One unit of penicillin V potassium is defined as 0.625 micrograms.",Penicillin,wikipedia,medicine
389,"Therefore 400,000 units of penicillin V is 250 mg.",Penicillin,wikipedia,medicine
390,The use of units to prescribe penicillin is largely obsolete outside of the US.,Penicillin,wikipedia,medicine
391,"Since the original penicillin was an ill-defined mixture of active compounds , the potency of penicillin varied from batch to batch.",Penicillin,wikipedia,medicine
392,It was therefore impractical to prescribe 1 g of penicillin because the activity of 1 g of penicillin from one batch would be different from the activity from another batch.,Penicillin,wikipedia,medicine
393,"To address this problem, after manufacture, each batch of penicillin was standardised against a known unit of penicillin: each glass vial was then filled with the number of units required.",Penicillin,wikipedia,medicine
394,"In the 1940s, a vial of 5,000 Oxford units was standard, but the depending on the batch, could contain anything from 15 mg to 20 mg of penicillin.",Penicillin,wikipedia,medicine
395,"Later, a vial of 1,000,000 international units became standard, and this could contain 2.5 g to 3 g of natural penicillin (a mixture of penicillin I, II, III, and IV and natural impurities).",Penicillin,wikipedia,medicine
396,"With the advent of pure penicillin G preparations , there is little reason to prescribe penicillin in units, although units are still used for benzathine benzylpenicillin in the United States.",Penicillin,wikipedia,medicine
397,The Silk Road was a network of Asian trade routes active from the second century BCE until the mid-15th century.,Silk Road,wikipedia,history
398,"Spanning over 6,400 km on land, it played a central role in facilitating economic, cultural, political, and religious interactions between the Eastern and Western worlds.",Silk Road,wikipedia,history
399,"The name ""Silk Road"" was coined in the late 19th century, but some 20th- and 21st-century historians instead prefer the term Silk Routes, on the grounds that it more accurately describes the intricate web of land and sea routes connecting Central, East, South, Southeast, and West Asia as well as East Africa and Southern Europe.",Silk Road,wikipedia,history
400,"In fact, some scholars criticise or even dismiss the idea of silk roads and call for a new definition or alternate term.",Silk Road,wikipedia,history
401,"According to them, the literature using this term has ""privileged the sedentary and literate empires at either end of Eurasia"" thereby ignoring the contributions of steppe nomads.",Silk Road,wikipedia,history
402,"In addition, the classic definition sidelines prominent civilisations such as India and Iran.",Silk Road,wikipedia,history
403,The Silk Road derives its name from the highly lucrative trade of silk textiles that were primarily produced in China.,Silk Road,wikipedia,history
404,"The network began with the expansion of the Han dynasty into Central Asia around 114 BCE, through the missions and explorations of the Chinese imperial envoy Zhang Qian, which brought the region under unified control.",Silk Road,wikipedia,history
405,"The Chinese took great interest in the security of their trade products, and extended the Great Wall of China to ensure the protection of the trade route.",Silk Road,wikipedia,history
406,The Parthian Empire provided a vital bridge connecting the network to the Mediterranean.,Silk Road,wikipedia,history
407,"Meanwhile, the rise of the Roman Empire in the west further established the western terminus of the interconnected trade system.",Silk Road,wikipedia,history
408,"By the first century CE, Chinese silk was widely sought after in Rome, Egypt, and Greece.",Silk Road,wikipedia,history
409,"Other lucrative commodities from the East included tea, dyes, perfumes, and porcelain; among Western exports were horses, camels, honey, wine, and gold.",Silk Road,wikipedia,history
