sentence_id,sentence,source,subject,relation,object,confidence
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Anatolia,is associated with,Rumi,0.7566
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Rumi,is a type of,historical personages,0.6816
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Rumi,is a type of,word,0.6566
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Rumi,is borrowed from,Persian,0.7566
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Rumi,literally means,"'Roman,'",0.6816
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Roman,refers to,subjects of the Byzantine Empire,0.7566
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,Roman,refers to,people living in or things associated with Anatolia,0.7566
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,Rumi,is widely known by the sobriquet,Mawlānā/Molānā,0.7227
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,Rumi,is widely known by the sobriquet,Mawlānā/Molānā in Iran,0.7227
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,Rumi,is popularly known as,Mevlânâ,0.7227
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,Rumi,is popularly known as,Mevlânâ in Turkey,0.7227
101,"The term مولوی Mawlawī/Mowlavi and Mevlevi , also of Arabic origin, meaning ""my master"", is also frequently used for him.",Rumi,مولوی Mawlawī/Mowlavi,is also frequently used for,him,0.723
103,"The area, culturally adjacent to Balkh, is where Mawlânâ's father, Bahâ' uddîn Walad, was a preacher and jurist.",Rumi,Bahâ' uddîn Walad,was a,preacher and jurist,0.6871
103,"The area, culturally adjacent to Balkh, is where Mawlânâ's father, Bahâ' uddîn Walad, was a preacher and jurist.",Rumi,Bahâ' uddîn Walad,was a,jurist,0.6871
105,Greater Balkh was at that time a major centre of Persian culture and Sufism had developed there for several centuries.,Rumi,Greater Balkh,was a major centre of,Persian culture,0.7191
105,Greater Balkh was at that time a major centre of Persian culture and Sufism had developed there for several centuries.,Rumi,Greater Balkh,had developed,Sufism,0.7191
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,Rumi,expresses his appreciation,Attar,0.8904
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,Attar,was the spirit,Sanai,0.8904
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,Attar,has traversed,the seven cities of Love,0.8904
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,Rumi,mentions,Attar,0.8904
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,Rumi,mentions,We,0.8904
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,We,are still at the turn of,one street,0.8904
108,His father was also connected to the spiritual lineage of Najm al-Din Kubra.,Rumi,His father,was connected to,the spiritual lineage of Najm al-Din Kubra,0.8683
110,"He was buried in Konya, and his shrine became a place of pilgrimage.",Rumi,He,was buried in,Konya,0.6783
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,Sultan Walad,founded,the Mevlevi Order,0.6509
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,his followers,founded,the Mevlevi Order,0.6509
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,the Mevlevi Order,is also known as,the Order of the Whirling Dervishes,0.6509
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,the Mevlevi Order,is famous for,the Sufi dance known as the Sama ceremony,0.6509
112,"He was laid to rest beside his father, and over his remains a shrine was erected.",Rumi,He,was laid to rest beside,his father,0.6685
112,"He was laid to rest beside his father, and over his remains a shrine was erected.",Rumi,He,was laid to rest beside,a shrine,0.6685
112,"He was laid to rest beside his father, and over his remains a shrine was erected.",Rumi,a shrine,was erected over,He,0.6685
113,A hagiographical account of him is described in Shams ud-Din Ahmad Aflāki's Manāqib ul-Ārifīn .,Rumi,A hagiographical account of him,is described in,Shams ud-Din Ahmad Aflāki's Manāqib ul-Ārifīn,0.902
117,Cardiology 'heart' and -λογία 'study') is the study of the heart.,Cardiology,Cardiology,is the study of,the heart,0.6769
118,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system, and it is a sub-specialty of internal medicine.",Cardiology,Cardiology,is a branch of,medicine,0.7852
118,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system, and it is a sub-specialty of internal medicine.",Cardiology,Cardiology,deals with,disorders of the heart and the cardiovascular system,0.7852
118,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system, and it is a sub-specialty of internal medicine.",Cardiology,Cardiology,is a sub-specialty of,internal medicine,0.7852
120,Physicians who specialize in this field of medicine are called cardiologists.,Cardiology,Physicians,specialize in,this field of medicine,0.8592
120,Physicians who specialize in this field of medicine are called cardiologists.,Cardiology,Physicians,are called,cardiologists,0.8592
121,Pediatric cardiologists are pediatricians who specialize in cardiology.,Cardiology,Pediatric cardiologists,are,pediatricians,0.8544
121,Pediatric cardiologists are pediatricians who specialize in cardiology.,Cardiology,Pediatric cardiologists,specialize in,cardiology,0.8544
122,"Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.",Cardiology,Physicians who specialize in cardiac surgery,are called,cardiothoracic surgeons or cardiac surgeons,0.705
122,"Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.",Cardiology,cardiothoracic surgeons or cardiac surgeons,are a specialty of,general surgery,0.705
130,"To become a cardiologist in the United States, a three-year residency in internal medicine is followed by a three-year fellowship in cardiology.",Cardiology,a three-year residency in internal medicine,is followed by,a three-year fellowship in cardiology,0.762
130,"To become a cardiologist in the United States, a three-year residency in internal medicine is followed by a three-year fellowship in cardiology.",Cardiology,a three-year residency in internal medicine,is required to become,a cardiologist in the United States,0.732
132,"Recognized sub-specialties in the U.S. by the Accreditation Council for Graduate Medical Education are clinical cardiac electrophysiology, interventional cardiology, adult congenital heart disease, and advanced heart failure and transplant cardiology.",Cardiology,Accreditation Council for Graduate Medical Education,recognizes,clinical cardiac electrophysiology,0.6537
132,"Recognized sub-specialties in the U.S. by the Accreditation Council for Graduate Medical Education are clinical cardiac electrophysiology, interventional cardiology, adult congenital heart disease, and advanced heart failure and transplant cardiology.",Cardiology,Accreditation Council for Graduate Medical Education,recognizes,adult congenital heart disease,0.657
132,"Recognized sub-specialties in the U.S. by the Accreditation Council for Graduate Medical Education are clinical cardiac electrophysiology, interventional cardiology, adult congenital heart disease, and advanced heart failure and transplant cardiology.",Cardiology,Accreditation Council for Graduate Medical Education,recognizes,advanced heart failure and transplant cardiology,0.6597
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,Cardiologists,may become certified in,echocardiography by the National Board of Echocardiography,0.7524
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,Cardiologists,may become certified in,nuclear cardiology by the Certification Board of Nuclear Cardiology,0.7524
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,Cardiologists,may become certified in,cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography,0.7524
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,Cardiologists,may become certified in,cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance,0.7524
134,Recognized subspecialties in the U.S. by the American Osteopathic Association Bureau of Osteopathic Specialists include clinical cardiac electrophysiology and interventional cardiology.,Cardiology,American Osteopathic Association Bureau of Osteopathic Specialists,include,clinical cardiac electrophysiology,0.7113
134,Recognized subspecialties in the U.S. by the American Osteopathic Association Bureau of Osteopathic Specialists include clinical cardiac electrophysiology and interventional cardiology.,Cardiology,American Osteopathic Association Bureau of Osteopathic Specialists,include,interventional cardiology,0.7113
136,"As cardiologists are physicians, all prospective cardiologists must complete the Membership of the Royal Colleges of Physicians of the United Kingdom diploma, prior to commencing cardiology specialty training.",Cardiology,cardiologists,are,physicians,0.8193
136,"As cardiologists are physicians, all prospective cardiologists must complete the Membership of the Royal Colleges of Physicians of the United Kingdom diploma, prior to commencing cardiology specialty training.",Cardiology,prospective cardiologists,must complete,Membership of the Royal Colleges of Physicians of the United Kingdom diploma,0.8193
136,"As cardiologists are physicians, all prospective cardiologists must complete the Membership of the Royal Colleges of Physicians of the United Kingdom diploma, prior to commencing cardiology specialty training.",Cardiology,Membership of the Royal Colleges of Physicians of the United Kingdom diploma,is required for,cardiology specialty training,0.7921
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,must complete,core curriculum in cardiology,0.6941
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,may undertake,further training,0.6941
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,may undertake,additional qualifications,0.6941
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,may undertake,certifications,0.6941
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,are necessary for,chosen sub-specialty,0.6941
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,cardiologists,are awarded,Certificate of Completion of Training in cardiology,0.6941
140,"After completing Class 12th , students appear for the Medical Entrance Exam conducted at the National level, and then the National Eligibility cum Entrance Test , which allows students to take MBBS/BDS courses.",Cardiology,Medical Entrance Exam,is conducted at the,National level,0.7249
140,"After completing Class 12th , students appear for the Medical Entrance Exam conducted at the National level, and then the National Eligibility cum Entrance Test , which allows students to take MBBS/BDS courses.",Cardiology,National Eligibility cum Entrance Test,allows students to take,MBBS/BDS courses,0.7249
150,Other therapeutic modalities employed in this field include antiarrhythmic drug therapy and implantation of pacemakers and automatic implantable cardioverter-defibrillators .,Cardiology,antiarrhythmic drug therapy,is a type of,therapeutic modality,0.7869
150,Other therapeutic modalities employed in this field include antiarrhythmic drug therapy and implantation of pacemakers and automatic implantable cardioverter-defibrillators .,Cardiology,implantation of pacemakers,is a type of,therapeutic modality,0.7669
150,Other therapeutic modalities employed in this field include antiarrhythmic drug therapy and implantation of pacemakers and automatic implantable cardioverter-defibrillators .,Cardiology,implantation of automatic implantable cardioverter-defibrillators,is a type of,therapeutic modality,0.8119
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,cardiologist,must conduct,electrophysiology-study drug trials,0.7658
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,cardiologist,select,one regimen,0.8086
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,one regimen,best prevents or slows,development of VT or VF,0.8086
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,one regimen,is for,long-term treatment,0.8086
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,PES,follows,VT or VF,0.7336
155,Cardiologists with expertise in this area are usually referred to as electrophysiologists.,Cardiology,Cardiologists,are usually referred to as,electrophysiologists,0.7198
230,The decision-making agent assigns a number to each situation that measures how much the agent prefers it.,Artificial intelligence,The decision-making agent,assigns,a number,0.7234
230,The decision-making agent assigns a number to each situation that measures how much the agent prefers it.,Artificial intelligence,The decision-making agent,measures,how much the agent prefers it,0.7234
251,But one of the most popular types of machine learning algorithm is called a neural network .,https://www.ibm.com/think/topics/artificial-intelligence,machine learning algorithm,is called,neural network,0.6989
259,"Deep neural networks include an input layer, at least three but usually hundreds of hidden layers, and an output layer, unlike neural networks used in classic machine learning models, which usually have only one or two hidden layers.",https://www.ibm.com/think/topics/artificial-intelligence,Deep neural networks,include,an input layer,0.8691
259,"Deep neural networks include an input layer, at least three but usually hundreds of hidden layers, and an output layer, unlike neural networks used in classic machine learning models, which usually have only one or two hidden layers.",https://www.ibm.com/think/topics/artificial-intelligence,Deep neural networks,include,at least three but usually hundreds of hidden layers,0.8691
259,"Deep neural networks include an input layer, at least three but usually hundreds of hidden layers, and an output layer, unlike neural networks used in classic machine learning models, which usually have only one or two hidden layers.",https://www.ibm.com/think/topics/artificial-intelligence,Deep neural networks,include,an output layer,0.8691
259,"Deep neural networks include an input layer, at least three but usually hundreds of hidden layers, and an output layer, unlike neural networks used in classic machine learning models, which usually have only one or two hidden layers.",https://www.ibm.com/think/topics/artificial-intelligence,neural networks used in classic machine learning models,usually have,only one or two hidden layers,0.8691
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,is referred to as,deep learning models,0.7997
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,can create,complex original content,0.8426
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,can create,long-form text,0.8426
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,can create,high-quality images,0.8426
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,can create,realistic video,0.8426
264,"Deep learning also enables:
Generative AI, sometimes called ""gen AI"" , refers to deep learning models that can create complex original content such as long-form text, high-quality images, realistic video or audio and more in response to a user’s prompt or request.",https://www.ibm.com/think/topics/artificial-intelligence,Generative AI,can create,audio,0.8426
282,"Earth's atmosphere now has roughly 50% more carbon dioxide, the main gas driving global warming, than it did at the end of the pre-industrial era, reaching levels not seen for millions of years.",Climate change,Earth's atmosphere,has roughly 50% more,carbon dioxide,0.7001
282,"Earth's atmosphere now has roughly 50% more carbon dioxide, the main gas driving global warming, than it did at the end of the pre-industrial era, reaching levels not seen for millions of years.",Climate change,Earth's atmosphere,has levels of,carbon dioxide,0.7001
282,"Earth's atmosphere now has roughly 50% more carbon dioxide, the main gas driving global warming, than it did at the end of the pre-industrial era, reaching levels not seen for millions of years.",Climate change,carbon dioxide,reaches levels not seen for,millions of years,0.6626
292,The World Health Organization calls climate change one of the biggest threats to global health in the 21st century.,Climate change,The World Health Organization,calls,climate change,0.6938
292,The World Health Organization calls climate change one of the biggest threats to global health in the 21st century.,Climate change,The World Health Organization,calls,one of the biggest threats to global health,0.6938
306,Scientists used the term inadvertent climate modification to refer to human impacts on the climate at this time.,Climate change,Scientists,used the term,inadvertent climate modification,0.8052
306,Scientists used the term inadvertent climate modification to refer to human impacts on the climate at this time.,Climate change,Scientists,refer to,human impacts on the climate at this time,0.8052
310,The term anthropogenic climate change is sometimes used to describe climate change resulting from human activities.,Climate change,anthropogenic climate change,is used to describe,climate change resulting from human activities,0.8575
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,Global warming,was used as early as,1975,0.7167
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,Global warming,became the more popular term after,James Hansen,0.7167
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,James Hansen,used the term,Global warming,0.7167
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,James Hansen,used the term in his testimony,U.S. Senate,0.7167
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,James Hansen,testified in the,U.S. Senate,0.6667
311,Global warming—used as early as 1975—became the more popular term after NASA climate scientist James Hansen used it in his 1988 testimony in the U.S. Senate.,Climate change,James Hansen,used the term in his 1988 testimony in the,U.S. Senate,0.7167
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,carbon dioxide,are causing,climate change,0.6795
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,carbon dioxide,include,carbon dioxide,0.6795
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,carbon dioxide,include,methane,0.6795
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,methane,include,carbon dioxide,0.6795
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,methane,include,methane,0.6795
321,The main greenhouse gases that are causing climate change include carbon dioxide and methane.,https://www.un.org/en/climatechange/what-is-climate-change,methane,are causing,climate change,0.6795
326,Climate scientists have showed that humans are responsible for virtually all global heating over the last 200 years.,https://www.un.org/en/climatechange/what-is-climate-change,Climate scientists,have showed,that,0.8617
326,Climate scientists have showed that humans are responsible for virtually all global heating over the last 200 years.,https://www.un.org/en/climatechange/what-is-climate-change,Climate scientists,have showed,humans,0.8617
326,Climate scientists have showed that humans are responsible for virtually all global heating over the last 200 years.,https://www.un.org/en/climatechange/what-is-climate-change,humans,are responsible for,global heating,0.8617
326,Climate scientists have showed that humans are responsible for virtually all global heating over the last 200 years.,https://www.un.org/en/climatechange/what-is-climate-change,humans,are responsible for,virtually all global heating over the last 200 years,0.8617
328,"The average temperature of the Earth’s surface is now about 1.42°C warmer than it was in the late 1800s-prior to the industrial revolution-and warmer than at any time in the last 100,000 years.",https://www.un.org/en/climatechange/what-is-climate-change,Earth's surface,is warmer than,it was in the late 1800s,0.6504
328,"The average temperature of the Earth’s surface is now about 1.42°C warmer than it was in the late 1800s-prior to the industrial revolution-and warmer than at any time in the last 100,000 years.",https://www.un.org/en/climatechange/what-is-climate-change,Earth's surface,is warmer than,"at any time in the last 100,000 years",0.6504
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,China,account for,more than half of all global greenhouse gas emissions,0.7599
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,the United States of America,account for,more than half of all global greenhouse gas emissions,0.7599
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,India,account for,more than half of all global greenhouse gas emissions,0.7599
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,the European Union,account for,more than half of all global greenhouse gas emissions,0.7599
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,the Russian Federation,account for,more than half of all global greenhouse gas emissions,0.7599
341,"The six biggest emitters (China, the United States of America, India, the European Union, the Russian Federation, and Indonesia) together account for more than half of all global greenhouse gas emissions.",https://www.un.org/en/climatechange/what-is-climate-change,Indonesia,account for,more than half of all global greenhouse gas emissions,0.7599
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,Sustainable Development Goals,are a part of,global frameworks and agreements,0.8895
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,Sustainable Development Goals,are a part of,guidance for progress,0.8324
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,UN Framework Convention on Climate Change,is a part of,global frameworks and agreements,0.8991
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,UN Framework Convention on Climate Change,is a part of,guidance for progress,0.8574
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,Paris Agreement,is a part of,global frameworks and agreements,0.8824
345,"We also have global frameworks and agreements to guide progress, such as the Sustainable Development Goals , the UN Framework Convention on Climate Change and the Paris Agreement .",https://www.un.org/en/climatechange/what-is-climate-change,Paris Agreement,is a part of,guidance for progress,0.8124
356,Climate action requires significant financial investments by governments and businesses.,https://www.un.org/en/climatechange/what-is-climate-change,governments,require,significant financial investments,0.8376
356,Climate action requires significant financial investments by governments and businesses.,https://www.un.org/en/climatechange/what-is-climate-change,businesses,require,significant financial investments,0.8376
357,"Penicillins are a group of β-lactam antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.",Penicillin,Penicillins,are a group of,β-lactam antibiotics,0.7632
357,"Penicillins are a group of β-lactam antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.",Penicillin,Penicillins,are originally obtained from,Penicillium moulds,0.7632
357,"Penicillins are a group of β-lactam antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.",Penicillin,Penicillins,are originally obtained from,P. chrysogenum,0.7632
357,"Penicillins are a group of β-lactam antibiotics originally obtained from Penicillium moulds, principally P. chrysogenum and P. rubens.",Penicillin,Penicillins,are originally obtained from,P. rubens,0.7632
359,"A number of natural penicillins have been discovered, but only two purified compounds are in clinical use: penicillin G and penicillin V .",Penicillin,penicillin G,are in clinical use,penicillin V,0.6955
359,"A number of natural penicillins have been discovered, but only two purified compounds are in clinical use: penicillin G and penicillin V .",Penicillin,penicillin V,are in clinical use,penicillin G,0.6955
360,Penicillins were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci.,Penicillin,Penicillins,were effective against,many bacterial infections caused by staphylococci and streptococci,0.8385
360,Penicillins were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci.,Penicillin,Penicillins,were among the first medications,to be effective against many bacterial infections caused by staphylococci and streptococci,0.8385
363,"Additionally, those with penicillin allergies can usually tolerate cephalosporins because the immunoglobulin E cross-reactivity is only 3%.",Penicillin,penicillin allergies,can be tolerated by,cephalosporins,0.6763
363,"Additionally, those with penicillin allergies can usually tolerate cephalosporins because the immunoglobulin E cross-reactivity is only 3%.",Penicillin,cephalosporins,are similar to,penicillin,0.6763
363,"Additionally, those with penicillin allergies can usually tolerate cephalosporins because the immunoglobulin E cross-reactivity is only 3%.",Penicillin,immunoglobulin E cross-reactivity,is,3%,0.7763
364,Penicillin was discovered in 1928 by the Scottish physician Alexander Fleming as a crude extract of P. rubens.,Penicillin,Penicillin,was discovered in,1928,0.7978
364,Penicillin was discovered in 1928 by the Scottish physician Alexander Fleming as a crude extract of P. rubens.,Penicillin,Penicillin,was discovered by,Alexander Fleming,0.7978
364,Penicillin was discovered in 1928 by the Scottish physician Alexander Fleming as a crude extract of P. rubens.,Penicillin,Penicillin,was discovered as,a crude extract of P. rubens,0.7978
364,Penicillin was discovered in 1928 by the Scottish physician Alexander Fleming as a crude extract of P. rubens.,Penicillin,Alexander Fleming,is a,Scottish physician,0.7978
