sentence_id,sentence,source,triples,triple_count
97,"According to the authoritative Rumi biographer Franklin Lewis of the University of Chicago, ""he Anatolian peninsula which had belonged to the Byzantine, or eastern Roman empire, had only relatively recently been conquered by Muslims and even when it came to be controlled by Turkish Muslim rulers, it was still known to Arabs, Persians and Turks as the geographical area of Rum.",Rumi,"[[""Anatolian peninsula"", ""had belonged to"", ""Byzantine, or eastern Roman empire""], [""Anatolian peninsula"", ""had been conquered by"", ""Muslims""], [""Anatolian peninsula"", ""was known to"", ""Arabs, Persians and Turks""], [""Anatolian peninsula"", ""was known as"", ""geographical area of Rum""]]",4
98,"As such, there are a number of historical personages born in or associated with Anatolia known as Rumi, a word borrowed from Persian literally meaning 'Roman,' in which context Roman refers to subjects of the Byzantine Empire or simply to people living in or things associated with Anatolia.""",Rumi,"[[""Anatolia"", ""is associated with"", ""Rumi""], [""Rumi"", ""is a type of"", ""historical personages""], [""Rumi"", ""is a type of"", ""word""], [""Rumi"", ""is borrowed from"", ""Persian""], [""Rumi"", ""literally means"", ""'Roman,'""], [""Roman"", ""refers to"", ""subjects of the Byzantine Empire""], [""Roman"", ""refers to"", ""people living in or things associated with Anatolia""]]",7
99,Rumi is widely known by the sobriquet Mawlānā/Molānā in Iran and popularly known as Mevlânâ in Turkey.,Rumi,"[[""Rumi"", ""is widely known by the sobriquet"", ""Mawlānā/Molānā""], [""Rumi"", ""is widely known by the sobriquet"", ""Mawlānā/Molānā in Iran""], [""Rumi"", ""is popularly known as"", ""Mevlânâ""], [""Rumi"", ""is popularly known as"", ""Mevlânâ in Turkey""]]",4
100,"Mawlānā is a term of Arabic origin, meaning ""our master"".",Rumi,[],0
101,"The term مولوی Mawlawī/Mowlavi and Mevlevi , also of Arabic origin, meaning ""my master"", is also frequently used for him.",Rumi,"[[""مولوی Mawlawī/Mowlavi"", ""is also frequently used for"", ""him""]]",1
102,"Life
Overview
Rumi was born to Persian parents, in Wakhsh, a village on the East bank of the Wakhsh River known as Sangtuda in present-day Tajikistan.",Rumi,"[[""Rumi"", ""was born to"", ""Persian parents""], [""Rumi"", ""was born in"", ""Wakhsh""], [""Wakhsh"", ""is located on the"", ""East bank of the Wakhsh River""], [""Wakhsh"", ""is known as"", ""Sangtuda""], [""Wakhsh"", ""is located in"", ""present-day Tajikistan""]]",5
103,"The area, culturally adjacent to Balkh, is where Mawlânâ's father, Bahâ' uddîn Walad, was a preacher and jurist.",Rumi,"[[""Bahâ' uddîn Walad"", ""was a"", ""preacher and jurist""], [""Bahâ' uddîn Walad"", ""was a"", ""jurist""]]",2
104,"He lived and worked there until 1212, when Rumi was aged around five and the family moved to Samarkand.",Rumi,"[[""He"", ""lived and worked"", ""there""], [""He"", ""moved"", ""Samarkand""], [""Rumi"", ""was aged around five"", ""when Rumi was aged around five""]]",3
105,Greater Balkh was at that time a major centre of Persian culture and Sufism had developed there for several centuries.,Rumi,"[[""Greater Balkh"", ""was a major centre of"", ""Persian culture""], [""Greater Balkh"", ""had developed"", ""Sufism""]]",2
106,"The most important influences upon Rumi, besides his father, were the Persian poets Attar and Sanai.",Rumi,"[[""Rumi"", ""was influenced by"", ""Attar""], [""Rumi"", ""was influenced by"", ""Sanai""], [""Rumi"", ""had"", ""father""]]",3
107,"Rumi expresses his appreciation: ""Attar was the spirit, Sanai his eyes twain, And in time thereafter, Came we in their train"" and mentions in another poem: ""Attar has traversed the seven cities of Love, We are still at the turn of one street"".",Rumi,"[[""Rumi"", ""expresses his appreciation"", ""Attar""], [""Attar"", ""was the spirit"", ""Sanai""], [""Attar"", ""has traversed"", ""the seven cities of Love""], [""Rumi"", ""mentions"", ""Attar""], [""Rumi"", ""mentions"", ""We""], [""We"", ""are still at the turn of"", ""one street""]]",6
108,His father was also connected to the spiritual lineage of Najm al-Din Kubra.,Rumi,"[[""His father"", ""was connected to"", ""the spiritual lineage of Najm al-Din Kubra""]]",1
109,"Rumi lived most of his life under the Persianate Seljuk Sultanate of Rum, where he produced his works and died in 1273 AD.",Rumi,"[[""Rumi"", ""lived under"", ""Persianate Seljuk Sultanate of Rum""], [""Rumi"", ""produced"", ""his works""], [""Rumi"", ""died in"", ""1273 AD""]]",3
110,"He was buried in Konya, and his shrine became a place of pilgrimage.",Rumi,"[[""He"", ""was buried in"", ""Konya""], [""his shrine"", ""became a place of pilgrimage"", ""null""]]",2
111,"Upon his death, his followers and his son Sultan Walad founded the Mevlevi Order, also known as the Order of the Whirling Dervishes, famous for the Sufi dance known as the Sama ceremony.",Rumi,"[[""Sultan Walad"", ""founded"", ""the Mevlevi Order""], [""his followers"", ""founded"", ""the Mevlevi Order""], [""the Mevlevi Order"", ""is also known as"", ""the Order of the Whirling Dervishes""], [""the Mevlevi Order"", ""is famous for"", ""the Sufi dance known as the Sama ceremony""]]",4
112,"He was laid to rest beside his father, and over his remains a shrine was erected.",Rumi,"[[""He"", ""was laid to rest beside"", ""his father""], [""He"", ""was laid to rest beside"", ""a shrine""], [""a shrine"", ""was erected over"", ""He""]]",3
113,A hagiographical account of him is described in Shams ud-Din Ahmad Aflāki's Manāqib ul-Ārifīn .,Rumi,"[[""A hagiographical account of him"", ""is described in"", ""Shams ud-Din Ahmad Aflāki's Manāqib ul-Ārifīn""]]",1
114,This biography needs to be treated with care as it contains both legends and facts about Rumi.,Rumi,[],0
115,"For example, Professor Franklin Lewis of the University of Chicago, author of the most complete biography on Rumi, has separate sections for the hagiographical biography of Rumi and the actual biography about him.",Rumi,"[[""Professor Franklin Lewis"", ""is the author of"", ""the most complete biography on Rumi""], [""Professor Franklin Lewis"", ""has separate sections for"", ""the hagiographical biography of Rumi""], [""Professor Franklin Lewis"", ""has separate sections for"", ""the actual biography about Rumi""]]",3
116,"Childhood and emigration
Rumi's father was Bahā ud-Dīn Walad, a theologian, jurist and a mystic from Wakhsh, who was also known by the followers of Rumi as Sultan al-Ulama or ""Sultan of the Scholars"".",Rumi,"[[""Rumi"", ""was known as"", ""Sultan al-Ulama""], [""Bahā ud-Dīn Walad"", ""was a"", ""theologian""], [""Bahā ud-Dīn Walad"", ""was a"", ""jurist""], [""Bahā ud-Dīn Walad"", ""was a"", ""mystic""], [""Bahā ud-Dīn Walad"", ""was from"", ""Wakhsh""]]",5
117,Cardiology 'heart' and -λογία 'study') is the study of the heart.,Cardiology,"[[""Cardiology"", ""is the study of"", ""the heart""]]",1
118,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system, and it is a sub-specialty of internal medicine.",Cardiology,"[[""Cardiology"", ""is a branch of"", ""medicine""], [""Cardiology"", ""deals with"", ""disorders of the heart and the cardiovascular system""], [""Cardiology"", ""is a sub-specialty of"", ""internal medicine""]]",3
119,"The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology.",Cardiology,[],0
120,Physicians who specialize in this field of medicine are called cardiologists.,Cardiology,"[[""Physicians"", ""specialize in"", ""this field of medicine""], [""Physicians"", ""are called"", ""cardiologists""]]",2
121,Pediatric cardiologists are pediatricians who specialize in cardiology.,Cardiology,"[[""Pediatric cardiologists"", ""are"", ""pediatricians""], [""Pediatric cardiologists"", ""specialize in"", ""cardiology""]]",2
122,"Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.",Cardiology,"[[""Physicians who specialize in cardiac surgery"", ""are called"", ""cardiothoracic surgeons or cardiac surgeons""], [""cardiothoracic surgeons or cardiac surgeons"", ""are a specialty of"", ""general surgery""]]",2
123,"Specializations
All cardiologists in the branch of medicine study the disorders of the heart, but the study of adult and child heart disorders each requires different training pathways.",Cardiology,[],0
124,"Therefore, an adult cardiologist is inadequately trained to take care of children, and pediatric cardiologists are not trained to treat adult heart disease.",Cardiology,"[[""an adult cardiologist"", ""is inadequately trained to take care of"", ""children""], [""pediatric cardiologists"", ""are not trained to treat"", ""adult heart disease""]]",2
125,Surgical aspects outside of cardiac rhythm device implant are not included in cardiology and are in the domain of cardiothoracic surgery.,Cardiology,"[[""cardiology"", ""are not included in"", ""cardiothoracic surgery""], [""cardiology"", ""are not included in"", ""Surgical aspects""], [""Surgical aspects"", ""are not included in"", ""cardiology""], [""Surgical aspects"", ""are in the domain of"", ""cardiothoracic surgery""]]",4
126,"For example, coronary artery bypass surgery and surgical valve replacement are surgical procedures performed by surgeons, not cardiologists.",Cardiology,"[[""coronary artery bypass surgery"", ""are performed by"", ""surgeons""], [""surgical valve replacement"", ""are performed by"", ""surgeons""], [""coronary artery bypass surgery"", ""are performed by"", ""cardiologists""], [""surgical valve replacement"", ""are performed by"", ""cardiologists""]]",4
127,"Typically, a cardiologist would first identify who is in need of cardiac surgery and refer them to a cardiac surgeon for the procedure.",Cardiology,"[[""cardiologist"", ""would first identify who is in need of"", ""cardiac surgery""], [""cardiologist"", ""would refer them to"", ""cardiac surgeon""], [""cardiologist"", ""refer them to"", ""cardiac surgeon""], [""cardiologist"", ""identify who is in need of"", ""cardiac surgery""], [""cardiac surgeon"", ""is for the procedure"", ""procedure""]]",5
128,"However, an increasing number of structural interventions can be performed less invasively by cardiologists; these include coronary procedures such as cardiac catheterization and percutaneous coronary intervention; structural valve procedures such as transcatheter aortic valve implantation and MitraClip; and procedures for heart rhythm disorders such as pacemaker implantation, Implantable cardioverter-defibrillator insertion, and ablation.",Cardiology,"[[""cardiologists"", ""perform"", ""coronary procedures""], [""cardiologists"", ""perform"", ""cardiac catheterization""], [""cardiologists"", ""perform"", ""percutaneous coronary intervention""], [""cardiologists"", ""perform"", ""structural valve procedures""], [""cardiologists"", ""perform"", ""transcatheter aortic valve implantation""], [""cardiologists"", ""perform"", ""MitraClip""], [""cardiologists"", ""perform"", ""procedures for heart rhythm disorders""], [""cardiologists"", ""perform"", ""pacemaker implantation""], [""cardiologists"", ""perform"", ""Implantable cardioverter-defibrillator insertion""], [""cardiologists"", ""perform"", ""ablation""]]",10
129,"Adult cardiology
Cardiology is a specialty of internal medicine.",Cardiology,"[[""Cardiology"", ""is a specialty of"", ""internal medicine""]]",1
130,"To become a cardiologist in the United States, a three-year residency in internal medicine is followed by a three-year fellowship in cardiology.",Cardiology,"[[""a three-year residency in internal medicine"", ""is followed by"", ""a three-year fellowship in cardiology""], [""a three-year residency in internal medicine"", ""is required to become"", ""a cardiologist in the United States""]]",2
131,It is possible to specialize further in a sub-specialty.,Cardiology,[],0
132,"Recognized sub-specialties in the U.S. by the Accreditation Council for Graduate Medical Education are clinical cardiac electrophysiology, interventional cardiology, adult congenital heart disease, and advanced heart failure and transplant cardiology.",Cardiology,"[[""Accreditation Council for Graduate Medical Education"", ""recognizes"", ""clinical cardiac electrophysiology""], [""Accreditation Council for Graduate Medical Education"", ""recognizes"", ""interventional cardiology""], [""Accreditation Council for Graduate Medical Education"", ""recognizes"", ""adult congenital heart disease""], [""Accreditation Council for Graduate Medical Education"", ""recognizes"", ""advanced heart failure and transplant cardiology""]]",4
133,"Cardiologists may further become certified in echocardiography by the National Board of Echocardiography, in nuclear cardiology by the Certification Board of Nuclear Cardiology, in cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography in cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance.",Cardiology,"[[""Cardiologists"", ""may become certified in"", ""echocardiography by the National Board of Echocardiography""], [""Cardiologists"", ""may become certified in"", ""nuclear cardiology by the Certification Board of Nuclear Cardiology""], [""Cardiologists"", ""may become certified in"", ""cardiovascular computed tomography by the Certification Board of Cardiovascular Computed Tomography""], [""Cardiologists"", ""may become certified in"", ""cardiovascular MRI by the Certification Board of Cardiovascular Magnetic Resonance""]]",4
134,Recognized subspecialties in the U.S. by the American Osteopathic Association Bureau of Osteopathic Specialists include clinical cardiac electrophysiology and interventional cardiology.,Cardiology,"[[""American Osteopathic Association Bureau of Osteopathic Specialists"", ""include"", ""clinical cardiac electrophysiology""], [""American Osteopathic Association Bureau of Osteopathic Specialists"", ""include"", ""interventional cardiology""]]",2
135,"In the United Kingdom, following completion of two years of foundation training and three years of internal medicine training, doctors may commence the five-year cardiology specialty training programme.",Cardiology,"[[""doctors"", ""may commence"", ""the five-year cardiology specialty training programme""], [""doctors"", ""complete"", ""two years of foundation training""], [""doctors"", ""complete"", ""three years of internal medicine training""]]",3
136,"As cardiologists are physicians, all prospective cardiologists must complete the Membership of the Royal Colleges of Physicians of the United Kingdom diploma, prior to commencing cardiology specialty training.",Cardiology,"[[""cardiologists"", ""are"", ""physicians""], [""prospective cardiologists"", ""must complete"", ""Membership of the Royal Colleges of Physicians of the United Kingdom diploma""], [""Membership of the Royal Colleges of Physicians of the United Kingdom diploma"", ""is required for"", ""cardiology specialty training""]]",3
137,"It is possible to specialise in a recognised sub-specialty; the core sub-specialties are interventional cardiology, electrophysiology, cardiac imaging, heart failure, and adult congenital heart disease.",Cardiology,[],0
138,"All cardiologists must complete a core curriculum in cardiology, and may undertake further training and additional qualifications and certifications necessary for their chosen sub-specialty, before being awarded the Certificate of Completion of Training in cardiology.",Cardiology,"[[""cardiologists"", ""must complete"", ""core curriculum in cardiology""], [""cardiologists"", ""may undertake"", ""further training""], [""cardiologists"", ""may undertake"", ""additional qualifications""], [""cardiologists"", ""may undertake"", ""certifications""], [""cardiologists"", ""are necessary for"", ""chosen sub-specialty""], [""cardiologists"", ""are awarded"", ""Certificate of Completion of Training in cardiology""]]",6
139,"In India, the full process of becoming a cardiologist after graduating high school takes around 11.5 years.",Cardiology,[],0
140,"After completing Class 12th , students appear for the Medical Entrance Exam conducted at the National level, and then the National Eligibility cum Entrance Test , which allows students to take MBBS/BDS courses.",Cardiology,"[[""Medical Entrance Exam"", ""is conducted at the"", ""National level""], [""National Eligibility cum Entrance Test"", ""allows students to take"", ""MBBS/BDS courses""]]",2
141,The MBBS course takes 5.5 years to complete .,Cardiology,[],0
142,"Upon completing this, the student becomes a qualified doctor.",Cardiology,[],0
143,"To pursue a specialization in cardiology, students must appear for either the NEET-PG or INI-CET exam.",Cardiology,[],0
144,"Once passed, the students get to study MD in General Medicine, which takes 3 years.",Cardiology,"[[""students"", ""get to study"", ""MD in General Medicine""], [""MD in General Medicine"", ""takes"", ""3 years""]]",2
145,"Finally, to pursue a super-specialty in cardiology, a 3 year DM in cardiology course is required.",Cardiology,[],0
146,"Per Doximity, adult cardiologists earn an average of $436,849 per year in the U.S.
Cardiac electrophysiology
Cardiac electrophysiology is the science of elucidating, diagnosing, and treating the electrical activities of the heart.",Cardiology,"[[""Per Doximity"", ""report"", ""adult cardiologists earn an average of $436,849 per year in the U.S.""], [""Cardiac electrophysiology"", ""is the science of"", ""elucidating, diagnosing, and treating the electrical activities of the heart""]]",2
147,The term is usually used to describe studies of such phenomena by invasive catheter recording of spontaneous activity as well as of cardiac responses to programmed electrical stimulation .,Cardiology,[],0
148,"These studies are performed to assess complex arrhythmias, elucidate symptoms, evaluate abnormal electrocardiograms, assess the risk of developing arrhythmias in the future, and design treatment.",Cardiology,[],0
149,"These procedures increasingly include therapeutic methods (typically radiofrequency ablation, or cryoablation) in addition to diagnostic and prognostic procedures.",Cardiology,[],0
150,Other therapeutic modalities employed in this field include antiarrhythmic drug therapy and implantation of pacemakers and automatic implantable cardioverter-defibrillators .,Cardiology,"[[""antiarrhythmic drug therapy"", ""is a type of"", ""therapeutic modality""], [""implantation of pacemakers"", ""is a type of"", ""therapeutic modality""], [""implantation of automatic implantable cardioverter-defibrillators"", ""is a type of"", ""therapeutic modality""]]",3
151,The cardiac electrophysiology study typically measures the response of the injured or cardiomyopathic myocardium to PES on specific pharmacological regimens in order to assess the likelihood that the regimen will successfully prevent potentially fatal sustained ventricular tachycardia or ventricular fibrillation in the future.,Cardiology,[],0
152,Sometimes a series of electrophysiology-study drug trials must be conducted to enable the cardiologist to select the one regimen for long-term treatment that best prevents or slows the development of VT or VF following PES.,Cardiology,"[[""cardiologist"", ""must conduct"", ""electrophysiology-study drug trials""], [""cardiologist"", ""select"", ""one regimen""], [""one regimen"", ""best prevents or slows"", ""development of VT or VF""], [""one regimen"", ""is for"", ""long-term treatment""], [""PES"", ""follows"", ""VT or VF""]]",5
153,Such studies may also be conducted in the presence of a newly implanted or newly replaced cardiac pacemaker or AICD.,Cardiology,[],0
154,"Clinical cardiac electrophysiology
Clinical cardiac electrophysiology is a branch of the medical specialty of cardiology and is concerned with the study and treatment of rhythm disorders of the heart.",Cardiology,"[[""Clinical cardiac electrophysiology"", ""is a branch of"", ""the medical specialty of cardiology""], [""Clinical cardiac electrophysiology"", ""is concerned with"", ""the study and treatment of rhythm disorders of the heart""]]",2
155,Cardiologists with expertise in this area are usually referred to as electrophysiologists.,Cardiology,"[[""Cardiologists"", ""are usually referred to as"", ""electrophysiologists""]]",1
156,"Electrophysiologists are trained in the mechanism, function, and performance of the electrical activities of the heart.",Cardiology,[],0
157,"If you’ve had one, or are close to someone who has, you’re not alone.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
158,Many people survive a heart attack and go on to enjoy productive lives.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
159,The following details can help you understand what’s happened and how your heart can heal.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
160,"Use this information to help you live a healthier, longer life.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
161,See how coronary artery damage leads to a heart attack.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
162,Your heart muscle needs oxygen to survive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
163,A heart attack occurs when the blood flow that brings oxygen to the heart is reduced or cut off.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
164,"If blood flow is reduced or stopped for too long, the heart muscle begins to die
View an animation of blood flow between the heart and lungs.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
165,"This happens when coronary arteries that supply the heart muscle with blood flow become narrowed from plaque — a buildup of fat, cholesterol and other substances.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
166,This slow process is known as atherosclerosis .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
167,"When plaque within a heart artery breaks, a blood clot forms around the plaque.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,"[[""plaque"", ""breaks"", ""a blood clot forms around the plaque""], [""plaque"", ""is within"", ""a heart artery""], [""a blood clot"", ""forms around"", ""the plaque""]]",3
168,This blood clot can block blood flow through the artery to the heart muscle.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
169,"About every 40 seconds, someone in the United States has a heart attack.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
170,Atherosclerosis may have no symptoms in its early stages.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
171,"But when an artery is narrowed by over 70%, there may be muscle pain or cramps.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
172,This happens because the surrounding tissue needs more oxygen than it’s able to receive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
173,"When a coronary artery narrows and constricts blood flow, other nearby blood vessels sometimes expand to help.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
174,This could explain why there may be no warning signs.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
175,This network of expanded blood vessels is called collateral circulation .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
176,It helps protect some people from heart attacks by delivering needed blood to the heart.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
177,Collateral circulation can also develop after a heart attack to help the heart muscle recover.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
178,"When a heart attack occurs, the heart muscle that has lost blood supply begins to suffer injury.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
179,It begins to die if blood supply is not restored.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
180,"The amount of damage to the heart muscle depends on:
Heart muscle damaged by a heart attack heals by forming scar tissue.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,"[[""Heart muscle"", ""is damaged by"", ""a heart attack""], [""Heart muscle"", ""heals by forming"", ""scar tissue""]]",2
181,It usually takes several weeks for your heart muscle to heal.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
182,"The length of time depends on:
The heart is a tough organ.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
183,"Even if part of it has been injured, the rest of the heart keeps working.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
184,"Still, your heart may be weakened and unable to pump as much blood as usual.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
185,"With treatment and lifestyle changes , further damage can be limited or prevented.",https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
186,Learn more about heart damage detection .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
187,Talk to your health care professional about your recovery time.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
188,Heart attacks can have longer or shorter recoveries and complications.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
189,This depends on the size and location of the damage and the treatment you receive.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
190,Scar tissue may form in the damaged area.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
191,Scar tissue doesn’t contract or pump as well as healthy muscle tissue.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
192,The amount of damage to the heart muscle can affect how well the heart pumps blood.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
193,How much pumping function is lost depends on the size and location of the scar tissue.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,"[[""scar tissue"", ""depends on"", ""size""], [""scar tissue"", ""depends on"", ""location""]]",2
194,Most heart attack survivors have some kind of coronary artery disease .,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
195,They will have to make lifestyle changes and possibly take medication to prevent a future heart attack.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
196,Surgeries or cardiac rehab may also be needed to help with recovery.,https://www.heart.org/en/health-topics/heart-attack/about-heart-attacks,[],0
197,"Artificial intelligence is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making.",Artificial intelligence,[],0
198,"It is a field of research in engineering, mathematics and computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.",Artificial intelligence,[],0
199,"High-profile applications of AI include advanced web search engines, chatbots, virtual assistants, autonomous vehicles, and play and analysis in strategy games .",Artificial intelligence,[],0
200,"Since the 2020s, generative AI has become widely available to generate images, audio, and videos from text prompts.",Artificial intelligence,[],0
201,"The traditional goals of AI research include learning, reasoning, knowledge representation, planning, natural language processing, and perception, as well as support for robotics.",Artificial intelligence,[],0
202,"To reach these goals, AI researchers have used techniques including state space search and mathematical optimization, formal logic, artificial neural networks, and methods based on statistics, operations research, and economics.",Artificial intelligence,[],0
203,"AI also draws upon psychology, linguistics, philosophy, neuroscience, and other fields.",Artificial intelligence,[],0
204,"Some companies, such as OpenAI, Google DeepMind and Meta, aim to create artificial general intelligence – AI that can complete virtually any cognitive task at least as well as a human.",Artificial intelligence,[],0
205,"Artificial intelligence was founded as an academic discipline in 1956, and the field went through multiple cycles of optimism throughout its history, followed by periods of disappointment and loss of funding, known as AI winters.",Artificial intelligence,"[[""Artificial intelligence"", ""was founded as an academic discipline in"", ""1956""], [""the field"", ""went through multiple cycles of optimism throughout its history"", ""its history""], [""the field"", ""went through"", ""multiple cycles of optimism""], [""the field"", ""went through"", ""periods of disappointment and loss of funding""], [""the field"", ""is known as"", ""AI winters""]]",5
206,"Funding and interest increased substantially after 2012, when graphics processing units began being used to accelerate neural networks, and deep learning outperformed previous AI techniques.",Artificial intelligence,[],0
207,This growth accelerated further after 2017 with the transformer architecture.,Artificial intelligence,[],0
208,"In the 2020s, an AI boom has coincided with advances in generative AI, which allowed for the creation and modification of media.",Artificial intelligence,[],0
209,"In addition to AI safety and unintended consequences and harms from the use of AI, ethical concerns, AI's long-term effects, and potential existential risks have prompted discussions of AI regulation.",Artificial intelligence,[],0
210,"Goals
The general problem of simulating intelligence has been broken into subproblems.",Artificial intelligence,[],0
211,These consist of particular traits or capabilities that researchers expect an intelligent system to display.,Artificial intelligence,[],0
212,The traits described below have received the most attention and cover the scope of AI research.,Artificial intelligence,[],0
213,"Reasoning and problem-solving
Early researchers developed algorithms that imitated step-by-step reasoning that humans use when they solve puzzles or make logical deductions.",Artificial intelligence,[],0
214,"By the late 1980s and 1990s, methods were developed for dealing with uncertain or incomplete information, employing concepts from probability and economics.",Artificial intelligence,[],0
215,"Many of these algorithms are insufficient for solving large reasoning problems because they experience a ""combinatorial explosion"": They become exponentially slower as the problems grow.",Artificial intelligence,[],0
216,Even humans rarely use the step-by-step deduction that early AI research could model.,Artificial intelligence,[],0
217,"They solve most of their problems using fast, intuitive judgments.",Artificial intelligence,[],0
218,Accurate and efficient reasoning is an unsolved problem.,Artificial intelligence,[],0
219,"Knowledge representation
Knowledge representation and knowledge engineering allow AI programs to answer questions intelligently and make deductions about real-world facts.",Artificial intelligence,[],0
220,"Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas.",Artificial intelligence,[],0
221,A knowledge base is a body of knowledge represented in a form that can be used by a program.,Artificial intelligence,[],0
222,"An ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge.",Artificial intelligence,[],0
223,"Knowledge bases need to represent things such as objects, properties, categories, and relations between objects; situations, events, states, and time; causes and effects; knowledge about knowledge (what we know about what other people know); default reasoning (things that humans assume are true until they are told differently and will remain true even when other facts are changing); and many other aspects and domains of knowledge.",Artificial intelligence,[],0
224,"Among the most difficult problems in knowledge representation are the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally).",Artificial intelligence,[],0
225,"There is also the difficulty of knowledge acquisition, the problem of obtaining knowledge for AI applications.",Artificial intelligence,[],0
226,"Planning and decision-making
An ""agent"" is any entity that perceives and takes actions in the world.",Artificial intelligence,[],0
227,A rational agent has goals or preferences and takes actions to make them happen.,Artificial intelligence,[],0
228,"In automated planning, the agent has a specific goal.",Artificial intelligence,[],0
229,"In automated decision-making, the agent has preferences—there are some situations it would prefer to be in, and some situations it is trying to avoid.",Artificial intelligence,[],0
230,The decision-making agent assigns a number to each situation that measures how much the agent prefers it.,Artificial intelligence,"[[""The decision-making agent"", ""assigns"", ""a number""], [""The decision-making agent"", ""measures"", ""how much the agent prefers it""]]",2
231,"For each possible action, it can calculate the ""expected utility"": the utility of all possible outcomes of the action, weighted by the probability that the outcome will occur.",Artificial intelligence,[],0
232,It can then choose the action with the maximum expected utility.,Artificial intelligence,[],0
233,"In classical planning, the agent knows exactly what the effect of any action will be.",Artificial intelligence,[],0
234,"In most real-world problems, however, the agent may not be certain about the situation they are in and it may not know for certain what will happen after each possible action .",Artificial intelligence,[],0
235,It must choose an action by making a probabilistic guess and then reassess the situation to see if the action worked.,Artificial intelligence,[],0
236,"Alongside thorough testing and improvement based on previous decisions, having an explanation for why the agent took certain decisions is a way to build trust, especially when the decisions have to be relied upon.",Artificial intelligence,[],0
237,"Artificial intelligence is technology that enables computers and machines to simulate human learning, comprehension, problem solving, decision making, creativity and autonomy.",https://www.ibm.com/think/topics/artificial-intelligence,[],0
238,Applications and devices equipped with AI can see and identify objects.,https://www.ibm.com/think/topics/artificial-intelligence,[],0
239,They can understand and respond to human language.,https://www.ibm.com/think/topics/artificial-intelligence,[],0
